Date,Title,Score,Sentiment,language
2020-01-01,Here How 2019 Turned Out To Be A Historic Year For The Stock Market,0.9433731436729431,positive,English
2020-01-01,  Damn The Torpedoes ... Full Speed ... Ahead,0.0,neutral,English
2020-01-01,"Vanguard market forecasts for 2020 and beyond ? Higher , but not as juicy as the 2010 decade . ",0.9513546824455261,negative,English
2020-01-01,"Jobs and Inflation : The Great Trade - Off , Demystified",0.0,neutral,English
2020-01-01,,0.0,Neutral,
2020-01-03,Fed may need new framework to boost inflation to 2 % ,0.5221118927001953,negative,English
2020-01-03,"Fed may need new approach to boost inflation , Daly says",0.7735352516174316,positive,English
2020-01-03,Why Gold Could Shine In 2020,0.0,neutral,English
2020-01-03,The Return To Misery,0.0,neutral,English
2020-01-03,Fed minutes : Members worried that keeping rates low would encourage risk,0.0,neutral,English
2020-01-05,Low Interest Rates Worry the Fed . Ben Bernanke Has Some Ideas . ,0.0,neutral,English
2020-01-05,Fed Williams Says Low Interest Rates Are Here to Stay,0.0,neutral,English
2020-01-05,Bernanke Says Fed Has the Tools It Needs to Fight Next Recession,0.8774309754371643,positive,English
2020-01-05,Low Duration Options For An Expensive Bond Market,0.0,neutral,English
2020-01-05,"Fed has the tools it needs to fight the next recession , Bernanke says",0.0,neutral,English
2020-01-04,Next stock market crash : The exact scenario that could spur a meltdown,0.6142820715904236,negative,English
2020-01-04,"Fed Mester , who warned of inflation risks , says current policy  well calibrated  ",0.0,neutral,English
2020-01-04,Cleveland Fed Loretta Mester Wants to Hold Rates Steady,0.0,neutral,English
2020-01-04,"Fed Mester , who warned of inflation risks , says current policy  well calibrated  ",0.0,neutral,English
2020-01-04,Fed policymakers broadly see eye to eye on 2020 outlook,0.0,neutral,English
2020-01-02,2020 Predictions for the Global Economy and Markets,0.0,neutral,English
2020-01-02,"Investors could be partying like it 1997 , but many sat out",0.0,neutral,English
2020-01-02,,0.0,Neutral,
2020-01-02,,0.0,Neutral,
2020-01-02,,0.0,Neutral,
2020-01-10,TIPS Outperform Treasurys In Q4 2019 And For All Of 2019,0.6016651391983032,positive,English
2020-01-10,Fed 2014  normalization  debate sowed seeds for today hot labor market,0.0,neutral,English
2020-01-10,Fed 2014  normalization  debate sowed seeds for today hot labor market,0.5180347561836243,negative,English
2020-01-10,Will The 10 - Year Treasury Yield Recent Rebound Continue ? ,0.0,neutral,English
2020-01-10,"Fed on hold but next move may be rate cut , Kashkari says",0.0,neutral,English
2020-01-08,"Polish inflation uptick caused by food , fuel : central bank",0.0,neutral,English
2020-01-08,Inflation Shock to Test Polish Rate Lockdown : Decision Day Guide,0.6775020956993103,negative,English
2020-01-08,Poland Looks Past Inflation Shock in Extending Record Rate Pause,0.6775020956993103,negative,English
